PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
181.517609,153.454056,36.537148,-0.214677,-0.690445,-0.690796,0.149713,0.675664,-0.721847,158.649689,144.168814,-9.747282,157.415363,140.357986,-11.732271,163.819708,129.150247,1.740497,178.542950,123.983920,30.297003,190.703693,125.340323,29.658862,2
169.185669,183.645859,34.125710,-0.324918,-0.655636,-0.681593,0.101770,0.692273,-0.714423,147.278577,169.139719,-10.201862,140.904834,169.849448,1.197189,149.994983,160.246701,13.592529,162.611267,156.016843,26.479536,172.614734,157.740744,24.753749,2
157.958069,200.853989,32.902798,-0.317514,-0.665578,-0.675419,0.069551,0.694012,-0.716596,134.825439,186.081039,-11.179343,129.226965,186.625571,-1.011898,141.107898,176.723605,16.276618,153.191809,173.422995,25.753274,162.257141,175.757724,23.905624,2
152.098785,208.360336,32.411987,-0.321559,-0.661208,-0.677794,0.053939,0.701857,-0.710273,128.672522,194.595639,-11.211655,123.183771,194.162473,-0.646367,135.740875,183.993478,16.982660,148.136761,181.158713,25.195113,156.933673,183.453696,23.261967,2
135.044174,229.652756,30.867746,-0.318082,-0.666374,-0.674366,-0.005162,0.712516,-0.701637,111.365714,215.636581,-11.154271,107.007297,213.120810,4.275237,119.984012,204.308469,17.900921,132.098080,201.907407,22.853954,141.440451,203.918832,21.019606,2
119.788635,248.686615,29.840128,-0.368272,-0.655604,-0.659211,-0.050565,0.722119,-0.689919,97.751105,233.943414,-10.518161,89.670947,234.240802,5.999468,102.580701,223.799127,18.497367,115.146735,220.602521,20.144373,125.462970,222.157660,17.880237,2
100.633492,280.713135,27.428555,-0.526699,-0.597345,-0.604787,-0.098833,0.749678,-0.654381,78.770436,264.801611,-9.742225,64.928557,271.245190,5.783961,76.351497,256.737109,16.727526,89.447090,253.207898,15.213921,100.756477,254.000366,11.595180,2
91.637138,299.466827,24.911436,-0.565444,-0.584240,-0.582183,-0.118977,0.756254,-0.643370,68.961833,284.377203,-11.566156,55.601820,293.533575,4.264633,65.494975,276.548102,13.472357,78.759337,272.263776,12.873901,90.333812,272.980231,8.577785,2
83.018600,316.115387,21.267319,-0.562913,-0.589220,-0.579610,-0.132568,0.756556,-0.640350,60.112860,302.157306,-15.503860,42.593600,320.349445,-16.792841,56.241956,294.765289,7.499183,69.939560,289.005426,9.348748,81.944571,290.007086,4.871253,2
74.612961,330.581207,16.345079,-0.550206,-0.594506,-0.586376,-0.137553,0.757156,-0.638587,51.822858,317.044025,-20.902168,41.579578,341.586676,-11.375785,47.738770,309.160724,1.422157,61.777753,303.255206,4.923519,74.173978,304.548590,0.388203,2
