PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
3.387861,221.648666,61.201290,0.208573,0.967764,-0.141172,-0.686898,0.042204,-0.725528,8.385974,279.950775,8.683362,0.253611,286.488312,-19.682808,30.209146,277.236420,51.761402,22.940784,274.389465,68.572250,8.051643,270.085205,78.419800,2
2.912442,220.990143,45.775734,0.154613,0.982628,-0.102650,-0.653929,0.023900,-0.756178,3.453551,284.199219,3.186933,8.208620,269.848083,1.592429,21.749502,288.989899,26.546505,8.244565,292.587341,35.645870,-0.381437,280.488434,52.636280,2
-0.342827,227.306488,39.063427,0.533587,0.773609,-0.341780,-0.643097,0.108669,-0.758035,11.287539,268.973358,-7.081606,-28.436058,268.943634,-54.456192,27.375013,260.385620,10.003132,23.019861,263.907257,35.030006,12.855145,272.275330,44.327545,2
5.716321,230.486435,25.868975,0.187198,-0.752666,-0.631229,-0.589056,0.428225,-0.685300,-8.304953,201.458801,-30.010319,-6.497679,186.156326,14.109448,14.457886,186.240524,16.907814,32.633682,198.225296,17.886591,41.604744,210.218414,9.181836,2
6.977601,229.354660,0.791443,-0.447543,-0.875931,-0.180140,-0.310059,0.340935,-0.887483,-22.397524,184.133011,-38.098618,-25.909447,197.265518,4.054290,-12.534251,193.458054,16.021528,5.682069,187.174622,14.236989,18.831375,185.862961,4.388361,2
3.559926,226.577042,-22.535879,-0.512614,-0.848296,-0.132740,-0.279766,0.311179,-0.908239,-28.540804,185.789444,-56.923325,-61.019287,208.533173,-66.857712,-17.219887,191.973068,-9.663363,0.086131,187.838806,-8.757938,14.739607,185.147583,-17.305479,2
-1.042458,229.557648,-44.611340,-0.471023,-0.870913,-0.140174,-0.309468,0.311952,-0.898285,-32.569538,190.400269,-81.140228,-53.429493,250.330475,-139.885117,-20.927399,197.401352,-32.939941,-0.827213,193.149887,-32.741066,14.459354,190.955307,-41.045822,2
-5.821031,231.120941,-66.337204,-0.418483,-0.899354,-0.126631,-0.326736,0.279172,-0.902943,-33.428841,189.439026,-103.424561,-52.258755,248.877213,-163.810974,-25.352516,199.370346,-53.805523,-2.871070,195.487015,-53.395206,12.135524,193.859909,-62.535656,2
-7.705372,232.605820,-76.536530,-0.409625,-0.900121,-0.148290,-0.319240,0.293716,-0.901009,-33.199810,190.761749,-114.954269,-52.957653,250.662964,-174.589355,-27.150187,200.249222,-64.653534,-6.653553,197.338974,-63.048397,10.438928,195.276718,-73.087036,2
-9.463848,234.369186,-86.855484,-0.397611,-0.909914,-0.118159,-0.319198,0.257901,-0.911921,-33.456196,189.964325,-123.859489,-55.182224,249.527664,-185.723480,-28.545130,201.933701,-73.564812,-9.113604,199.264221,-71.647758,8.824669,197.077957,-82.127213,2
-10.950828,236.226563,-96.682381,-0.379447,-0.919086,-0.106308,-0.313424,0.235797,-0.919872,-33.668488,189.490234,-133.090683,-57.359879,250.436401,-196.147720,-29.636511,203.366302,-82.735725,-10.924856,201.275208,-80.387947,7.653420,198.967926,-90.971741,2
-11.958757,237.788803,-105.993736,-0.367126,-0.926543,-0.082074,-0.307895,0.204310,-0.929225,-33.923534,189.103485,-141.357239,-60.480461,245.000046,-205.208115,-30.240379,205.213669,-91.031509,-11.588027,203.139771,-88.545738,6.714036,200.540894,-99.009148,2
-13.215487,239.728958,-113.548340,-0.246895,-0.958500,-0.142551,-0.308681,0.217233,-0.926027,-30.428280,189.869034,-152.616776,-62.790596,231.781097,-210.934036,-27.031921,204.881470,-99.710976,-6.560417,204.268723,-97.896713,9.532844,204.339371,-108.120560,2
-13.493397,240.428177,-122.560699,-0.236084,-0.964234,-0.120488,-0.296136,0.189486,-0.936162,-29.866468,190.477539,-160.830963,-66.763374,208.413757,-207.981964,-27.059759,206.912766,-108.736259,-5.583838,204.490860,-106.483124,8.805881,204.288651,-115.658562,2
