PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
37.373653,228.970184,166.926559,-0.708836,-0.066930,0.702191,-0.615369,0.545262,-0.569220,-9.195063,208.428884,127.274431,-15.751820,249.724313,71.509173,0.430107,272.328894,65.897369,17.260533,297.934624,87.263828,38.735654,310.115921,123.687658,1
48.204166,217.197662,148.092545,0.650941,0.581145,-0.488412,-0.687624,0.178788,-0.703711,49.983923,284.940421,123.949722,-3.097194,269.670811,78.824214,19.416846,271.402718,66.331169,34.520559,252.623736,65.354797,50.474383,226.538295,71.758618,1
48.140533,219.061462,140.168503,0.652300,0.527829,-0.543968,-0.714890,0.189957,-0.672940,51.492746,289.979391,118.456735,-2.933361,275.938972,74.218838,19.613923,263.909215,57.103693,27.886441,242.572136,52.307458,44.940872,216.960188,58.520202,1
47.149010,219.768875,133.853775,0.654362,0.522670,-0.546468,-0.720719,0.212369,-0.659896,49.426366,291.239024,114.688406,7.092227,279.073730,72.488604,20.012344,263.849580,51.592318,24.579187,240.135877,44.680436,40.582517,213.248164,49.682135,1
38.642811,221.467682,100.485321,0.652568,0.512979,-0.557681,-0.704624,0.140141,-0.695605,40.839476,279.002289,71.140293,18.239582,272.755418,45.113488,19.994603,259.588780,19.804841,18.063441,228.862493,8.050624,33.040748,203.035412,16.463849,1
24.547653,225.901871,60.703709,0.659080,0.453815,-0.599722,-0.714305,0.128204,-0.687991,35.236505,272.314378,16.644364,24.081081,278.709164,4.305042,16.258241,266.771571,-20.884193,14.994711,245.292418,-26.998861,25.391056,222.702303,-16.088272,1
12.685461,239.481674,15.078353,0.657087,-0.101710,-0.746921,-0.668452,0.379387,-0.639717,25.417528,243.599844,-43.305213,38.908335,264.806402,-34.609320,41.267553,252.498889,-40.118757,38.706901,238.046585,-49.067999,20.841080,226.300772,-45.098785,1
9.951193,244.237640,-23.170885,0.530075,-0.608672,-0.590372,-0.423992,0.412693,-0.806173,12.172341,218.378016,-72.885240,11.363716,273.228470,-121.079932,39.732559,223.633356,-48.552848,30.009886,212.118563,-39.441173,13.281679,206.681793,-40.724973,1
8.692821,243.787079,-41.844479,0.493386,-0.720576,-0.487176,-0.320597,0.370008,-0.871959,9.476280,211.122392,-87.261233,5.497264,257.351048,-139.464723,37.853184,216.993878,-53.342666,25.517900,208.782893,-45.610714,9.008185,204.373009,-51.694046,1
8.124348,242.367447,-64.692398,0.403836,-0.815817,-0.413955,-0.242978,0.340592,-0.908272,4.418916,204.449247,-105.237362,-0.239659,255.541521,-161.444830,35.962554,212.350819,-68.379526,20.870363,204.541252,-63.304997,4.160732,201.792114,-73.594067,1
6.091526,241.405487,-82.811958,0.449619,-0.808082,-0.380587,-0.238181,0.302191,-0.923012,4.856011,201.862215,-121.587602,-2.131154,252.705074,-178.990217,35.184153,212.783171,-85.325727,20.763970,203.974159,-80.345461,4.537859,200.114175,-91.381368,1
1.012069,241.188675,-114.624458,0.543889,-0.774203,-0.323719,-0.215517,0.243955,-0.945536,7.934454,199.719195,-149.880720,8.132548,236.606247,-203.818950,33.722893,214.247530,-118.499474,21.257212,203.147376,-114.828270,3.404756,199.795037,-123.596853,1
-0.269614,241.291336,-122.459229,0.563161,-0.764185,-0.314439,-0.220777,0.227542,-0.948410,8.084999,198.465755,-154.891996,2.790682,244.009873,-216.846706,33.475969,214.679232,-127.296341,20.731305,203.785847,-123.850743,3.348303,199.725270,-131.401501,1
-1.478176,240.665344,-129.603073,0.621348,-0.728633,-0.288134,-0.208191,0.200988,-0.957215,13.485346,199.747475,-162.517973,2.617999,245.693433,-226.606211,33.657147,216.698399,-132.540005,18.847978,207.038829,-128.161113,4.979336,199.496769,-136.499836,1
-2.653053,240.866257,-137.808441,0.669927,-0.696333,-0.257522,-0.198663,0.166083,-0.965893,18.469349,202.678159,-169.994518,3.784617,248.910366,-237.436314,31.111749,221.082915,-140.063039,18.421908,209.386736,-134.331235,5.198458,201.074207,-137.999236,1
-3.043374,242.901688,-143.126450,0.654365,-0.716799,-0.240842,-0.179133,0.162492,-0.970313,19.887144,206.286244,-175.038686,3.371684,251.170990,-243.259836,28.995801,223.129204,-144.955666,16.693480,211.208629,-138.485067,3.484239,203.093011,-142.204745,1
-3.727848,244.202530,-147.145279,0.587471,-0.771833,-0.243212,-0.177980,0.169951,-0.969247,17.619267,207.726797,-180.165955,0.008538,252.702693,-247.724253,25.030240,219.940058,-148.424132,13.022439,211.305605,-141.384193,-0.602115,204.046954,-145.555476,1
-5.120454,245.817261,-148.259811,0.502350,-0.807494,-0.309189,-0.216314,0.228849,-0.949124,10.993009,209.361185,-186.486353,-4.585252,259.602843,-248.966682,20.978297,218.363122,-151.259423,8.890067,211.541331,-143.886254,-5.486638,205.607644,-147.912114,1
