PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
151.035080,132.215347,-110.957809,-0.751274,-0.468315,0.465046,-0.630594,0.301394,-0.715201,92.864067,153.822845,-103.979507,72.539879,149.013382,-150.080399,98.523422,127.279251,-104.813606,114.699585,110.221390,-102.559067,121.219048,99.843964,-108.440613,2
124.420319,135.739655,-118.808701,-0.658578,0.090455,0.747056,-0.725276,0.188374,-0.662186,77.388145,170.771515,-105.119453,73.659119,170.524765,-108.701721,102.445328,146.381012,-87.159164,110.624092,130.167786,-85.055756,106.896652,117.490669,-88.992210,2
116.602592,137.550064,-121.390404,-0.608020,0.212274,0.765017,-0.751969,0.155110,-0.640690,72.938980,178.891998,-102.789124,52.357986,182.472946,-114.340652,98.242294,153.309845,-84.605263,110.849030,135.715820,-85.775246,107.124176,126.184502,-91.074448,2
105.372025,142.922089,-123.538216,-0.530796,0.324733,0.782818,-0.796911,0.123107,-0.591420,72.889114,204.771698,-112.166191,43.271206,193.060089,-106.266411,101.927307,157.818039,-88.388878,107.515160,146.124176,-89.962524,100.415718,136.710266,-95.312729,2
92.104279,154.393509,-122.572395,-0.518000,0.253397,0.816986,-0.809313,0.164026,-0.564010,63.132744,220.724716,-111.997948,29.618048,201.441559,-98.135727,94.004089,165.154510,-89.948769,95.998306,154.188950,-89.788673,89.584679,144.860214,-95.602638,2
78.938622,164.080933,-117.097366,-0.494417,0.194288,0.847233,-0.819845,0.219613,-0.528796,47.115738,223.963837,-102.041466,20.832285,207.422089,-84.319176,83.126671,174.173096,-85.113228,83.629272,158.926376,-85.123680,77.628830,151.897812,-91.537445,2
64.019524,173.522339,-106.056580,-0.369649,0.180255,0.911519,-0.893980,0.198434,-0.401777,32.946213,231.969559,-89.710098,10.137774,216.031342,-65.919609,70.167175,180.620132,-73.762077,72.878914,165.864807,-75.796867,66.351204,153.066299,-77.343185,2
52.040909,183.309250,-95.277863,-0.289854,0.136132,0.947340,-0.925278,0.213146,-0.313733,22.728271,240.540695,-77.017868,7.746063,221.962051,-48.886452,62.223701,191.991913,-63.944893,63.215477,174.304184,-66.430374,56.694622,161.330032,-68.313660,2
46.273746,190.675308,-87.943176,-0.218114,0.148153,0.964612,-0.949425,0.196548,-0.244868,18.701485,248.875000,-68.268585,16.802839,225.490112,-38.742390,58.332527,200.644775,-57.244728,59.115086,182.465286,-59.734623,52.578007,169.235718,-61.066437,2
42.244877,195.895920,-83.101776,-0.172307,0.163236,0.971424,-0.953078,0.221560,-0.206284,18.299545,257.313049,-65.090622,30.126242,226.220520,-37.896027,56.266926,205.814377,-52.661594,56.551422,189.997391,-56.174927,49.000198,174.494598,-56.373089,2
38.449284,200.369019,-78.752525,-0.153491,0.165903,0.974123,-0.946704,0.257820,-0.193080,15.409339,261.289642,-60.827175,31.230352,229.755936,-33.211452,54.125587,209.354523,-48.619671,54.011955,195.249985,-52.233315,45.731106,178.622406,-52.055893,2
34.862759,205.543686,-74.806786,-0.146523,0.143000,0.978817,-0.929829,0.317753,-0.185612,11.328053,262.054443,-52.317261,20.880245,238.000122,-22.186184,51.679222,212.387711,-44.421326,50.433128,199.068207,-47.086857,41.182205,183.217087,-47.398533,2
31.803827,209.862396,-70.754204,-0.135551,0.130291,0.982166,-0.916343,0.360471,-0.174285,8.110497,262.523407,-43.896629,12.643718,245.083786,-15.085298,49.052532,215.540741,-39.736526,47.394516,202.468903,-42.264149,37.520390,187.218796,-42.783066,2
28.974247,213.458420,-66.624084,-0.106280,0.151434,0.982737,-0.903315,0.398390,-0.159081,7.087383,264.705139,-36.498302,11.253492,251.085846,-11.375214,47.229385,219.012970,-35.394215,44.928970,205.935043,-38.003124,34.435043,191.282974,-37.871021,2
26.844643,217.728180,-62.546406,-0.055979,0.193083,0.979584,-0.894873,0.425417,-0.134991,7.139640,266.828644,-27.348782,13.082524,258.067261,-8.541041,43.791870,226.632263,-27.899603,44.182770,210.916260,-33.628120,34.247398,204.529510,-36.980873,2
23.720837,222.915848,-56.761589,0.001812,0.250007,0.968242,-0.878746,0.462529,-0.117784,6.201270,267.639801,-16.010254,15.770065,266.166595,-3.969165,38.829121,238.278107,-15.654068,40.714085,218.643478,-25.541321,32.003315,211.555206,-29.666622,2
22.046974,225.382950,-53.001331,0.017427,0.248634,0.968441,-0.866600,0.486862,-0.109401,4.261543,265.065613,-8.598458,17.037609,268.005615,0.344584,34.953522,244.548752,-6.018166,38.633976,222.359344,-18.748909,30.668911,214.901382,-24.197748,2
19.273180,228.348114,-45.815983,0.039489,0.215196,0.975772,-0.855908,0.511197,-0.078101,0.909838,259.808838,3.001220,15.288135,270.128815,9.997990,27.953384,252.475189,10.687263,36.080265,225.729111,-7.898337,28.595339,216.052353,-13.385845,2
17.993244,228.793198,-42.285690,0.046673,0.179922,0.982573,-0.867563,0.494867,-0.049407,-0.369538,258.185852,7.468346,13.159215,268.856689,14.493559,31.266739,246.078888,8.005851,35.350925,222.609467,-10.754752,27.128931,213.624023,-13.263733,2
16.889462,229.450043,-39.023396,0.068665,0.164223,0.984030,-0.875615,0.482618,-0.019443,-1.049292,257.792175,10.855644,13.141553,268.362762,17.880844,33.074097,244.117188,8.372855,35.395508,222.284439,-9.625428,25.753826,208.547455,-8.669146,2
15.978024,231.593246,-35.164791,0.097508,0.171410,0.980363,-0.886200,0.463248,0.007147,-1.370012,260.934509,13.568288,13.989960,270.198090,21.045816,34.545918,245.710358,9.891133,35.665195,224.857910,-6.673604,26.107317,210.545898,-5.304208,2
16.024773,233.019135,-33.051907,0.103900,0.164133,0.980951,-0.877781,0.478890,0.012844,-0.812369,263.558136,14.781357,14.055028,271.918396,23.840725,35.028316,247.048737,13.357250,35.712326,225.686127,-4.865698,25.810102,211.474854,-3.619515,2
16.160402,234.141800,-31.215778,0.107226,0.163512,0.980697,-0.874548,0.484713,0.014804,-0.318251,266.087524,15.811657,13.990805,273.455688,25.989651,35.249016,248.561920,16.339453,35.842602,226.646530,-3.169379,26.075548,213.329788,-2.569932,2
16.441673,234.909988,-29.698420,0.100034,0.146279,0.984173,-0.865866,0.500089,0.013680,-0.003366,267.375000,16.985434,13.032640,274.348175,28.669529,35.128624,248.621765,19.074951,35.722328,226.423889,-2.072412,25.306684,212.424240,-1.031043,2
16.815777,235.147125,-28.293026,0.099585,0.156536,0.982639,-0.866322,0.499419,0.008238,0.344916,268.944061,17.576614,13.162937,275.240662,29.710304,35.049335,249.673965,20.556801,36.072010,227.026718,-0.438801,26.167923,214.533325,-0.346358,2
17.130449,235.268692,-27.783800,0.104790,0.165114,0.980692,-0.866523,0.499064,0.008565,0.868831,269.866119,17.642046,14.464378,275.323853,29.679502,35.461365,250.392639,21.058674,36.562431,227.555038,0.423863,26.753914,215.196716,0.313735,2
17.482079,234.959137,-27.742388,0.102647,0.170013,0.980081,-0.865804,0.500367,0.003881,1.094642,269.960449,17.349491,15.554577,274.654022,29.369875,35.355885,250.840042,21.952320,36.914852,227.607452,1.189105,27.288931,215.901382,0.341815,2
18.023199,233.820221,-29.626905,0.094062,0.214064,0.972280,-0.884173,0.466841,-0.017245,0.193117,269.667419,14.506314,16.860594,274.040100,25.448242,34.468548,253.635162,21.445892,37.937386,229.445084,1.965526,29.251562,220.672882,-1.813618,2
18.144699,232.382919,-31.820953,0.085664,0.253482,0.963540,-0.900428,0.433671,-0.034035,-1.046035,268.230835,11.732870,18.680056,272.707214,21.073893,33.690701,255.102554,19.245834,38.106647,231.336014,2.660059,30.177647,222.572098,-2.406360,2
19.504652,229.962585,-37.049709,0.011139,0.247277,0.968881,-0.910018,0.404079,-0.092666,-3.610669,263.683777,6.632422,17.533176,268.606354,15.619885,30.744608,252.514252,14.647218,36.906544,230.074203,0.329094,29.408936,214.623047,-0.698173,2
20.263880,229.033493,-41.944931,-0.053923,0.236135,0.970223,-0.911036,0.386136,-0.144612,-5.832554,261.229919,1.458097,14.544517,266.921997,11.144716,28.874655,249.982254,8.555541,35.412350,229.066086,-3.523575,28.172562,214.144897,-4.249570,2
20.964178,226.606628,-47.417896,-0.133616,0.238836,0.961823,-0.908971,0.357159,-0.214962,-8.750925,259.649353,-6.864253,8.939240,264.966614,4.482380,31.250315,241.884872,-6.773242,34.826450,224.498322,-13.477811,26.331717,210.580368,-11.613092,2
21.913616,224.364258,-52.865456,-0.244606,0.162732,0.955869,-0.901895,0.323786,-0.285917,-12.829091,256.364563,-14.318189,-0.351390,259.070374,-1.930411,31.227629,234.566010,-15.298114,34.212986,219.168884,-20.938087,24.880701,205.337418,-19.171604,2
23.092604,222.423553,-58.711254,-0.320808,0.161368,0.933297,-0.885287,0.299177,-0.356033,-14.513063,255.983582,-24.094131,-11.852960,259.603027,-12.150520,31.937653,231.320358,-24.261099,33.622719,216.878708,-28.138899,24.402042,202.531204,-26.733715,2
26.211374,225.383530,-68.184807,-0.501892,0.075796,0.861603,-0.797089,0.346201,-0.494767,-16.516050,258.996094,-37.634296,-37.858212,268.435944,-36.927559,26.817039,231.186386,-32.669258,30.292004,216.473801,-38.708237,22.071547,201.172455,-41.770561,2
29.467972,226.676910,-73.272659,-0.573355,0.105597,0.812473,-0.724235,0.398339,-0.562859,-13.361788,262.696655,-42.899910,-40.188454,281.870361,-60.853798,-10.361968,249.636566,-27.711403,27.131130,217.041290,-41.158611,20.296202,203.704208,-46.798309,2
32.957146,225.796692,-78.776283,-0.635493,0.145626,0.758249,-0.652749,0.423197,-0.628350,-9.182900,265.961365,-48.570171,-34.140018,291.282867,-90.743019,-39.772038,273.421265,-62.785366,17.197866,221.098709,-41.262600,15.796705,210.062973,-50.727474,2
35.984951,227.175522,-84.522476,-0.705419,0.154811,0.691677,-0.569526,0.457106,-0.683150,-3.708257,274.547546,-56.465839,-22.039454,297.417664,-117.703438,-37.949764,279.540161,-90.505371,-16.151363,240.082703,-51.875782,-0.030792,219.925674,-58.766270,2
38.417946,226.746780,-86.286621,-0.712601,0.191734,0.674861,-0.566291,0.410638,-0.714626,1.292484,280.326843,-62.000992,-22.912003,291.167542,-110.889221,-35.854191,275.656555,-93.498779,-27.820240,247.535309,-66.508675,-11.681023,226.565033,-65.188454,2
40.567463,228.311890,-87.795380,-0.732469,0.193956,0.652587,-0.551777,0.392359,-0.735933,4.935564,285.060364,-67.157707,-23.426119,288.254425,-103.748970,-37.021404,276.472290,-100.204147,-35.759777,252.248291,-83.890717,-21.088547,230.718796,-77.483498,2
42.787571,230.352127,-88.572731,-0.750010,0.188742,0.633925,-0.544939,0.366863,-0.753958,8.850187,288.903412,-73.709114,-25.728273,285.506256,-100.594269,-39.063004,276.463531,-106.948563,-39.998730,254.251205,-103.495239,-27.650393,231.877960,-93.725922,2
43.320011,232.507477,-88.556953,-0.763242,0.177160,0.621350,-0.537050,0.360711,-0.762538,10.246936,290.450745,-77.726974,-27.523096,284.903107,-100.094208,-40.222115,276.801697,-108.920776,-40.245983,255.389236,-109.531044,-28.899746,232.795990,-101.267944,2
42.953949,238.331970,-87.126144,-0.782476,0.142690,0.606111,-0.516837,0.394064,-0.759996,11.808212,292.968170,-80.825912,-29.980246,288.090179,-100.515236,-41.510887,281.845612,-108.630577,-40.232975,262.011902,-111.166092,-28.999992,239.649323,-107.091972,2
42.195545,241.454086,-85.431610,-0.785226,0.149157,0.600977,-0.504135,0.409549,-0.760341,13.204659,294.445923,-82.112343,-30.730192,290.788696,-101.044159,-41.968063,285.807190,-107.790878,-40.543140,266.876923,-109.711151,-29.177074,245.018616,-106.943420,2
41.196148,244.088058,-83.342064,-0.783041,0.167810,0.598905,-0.496728,0.410771,-0.764544,13.782581,296.058319,-82.592201,-31.355438,293.275116,-101.230820,-42.446945,289.182739,-105.474487,-41.225185,270.660950,-106.235283,-29.730955,249.373856,-103.737831,2
