PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
89.440346,180.284714,22.032671,-0.628309,-0.477841,-0.613919,0.000489,0.788892,-0.614532,43.443312,188.821436,-13.956891,65.186811,262.605006,-33.102505,46.427902,207.977454,-57.712047,70.291597,150.930981,3.860663,85.229410,149.429196,-1.271678,2
87.581955,189.431122,12.359619,-0.657276,-0.426698,-0.621222,0.018418,0.814945,-0.579246,45.236755,195.461410,-21.962034,60.742078,273.364555,-38.091652,71.270529,264.456624,-62.151722,69.920879,162.252477,-4.546331,83.943750,159.885652,-10.818171,2
85.508553,198.946808,1.350302,-0.695751,-0.403896,-0.593968,0.019576,0.815958,-0.577780,43.709205,203.167043,-33.347694,54.916011,283.507767,-47.003458,72.879341,280.266031,-68.420424,67.570308,172.492433,-14.183173,81.174895,169.807381,-21.116451,2
83.009834,207.115601,-8.184675,-0.692911,-0.399631,-0.600141,0.027744,0.816953,-0.576037,41.565870,211.163871,-43.570970,52.135929,290.730096,-57.537435,69.564847,288.369969,-77.443795,65.105104,180.939329,-24.033939,78.852069,178.241796,-30.850917,2
80.997612,215.314209,-17.735693,-0.688514,-0.407702,-0.599773,0.034340,0.807763,-0.588506,40.126611,218.136957,-53.803090,49.737943,297.747844,-68.857621,68.770138,295.057820,-88.779999,63.201141,189.024072,-33.398877,77.169599,186.409064,-39.752977,2
74.827271,224.426315,-33.629753,-0.656637,-0.422904,-0.624484,0.052431,0.800402,-0.597166,35.131445,225.428935,-72.288307,43.742914,304.592321,-88.003482,62.750619,299.258283,-108.870714,57.947937,197.718524,-48.410848,71.748729,195.241053,-54.399917,2
68.638313,230.902664,-45.734417,-0.629679,-0.482252,-0.609046,0.036318,0.764858,-0.643175,28.871825,228.673855,-85.523158,35.544434,305.659805,-105.895886,52.186144,297.382761,-126.607925,52.175460,203.125848,-58.338442,66.456775,200.848477,-64.134111,2
65.070213,233.127625,-49.980892,-0.620479,-0.504403,-0.600486,0.027778,0.751092,-0.659613,25.028674,229.224863,-90.353852,31.016875,305.943466,-111.925002,48.265976,297.785086,-132.427606,48.891200,204.648296,-61.660818,63.278903,202.535830,-67.414561,2
60.897141,233.810104,-52.604279,-0.621282,-0.529780,-0.577358,0.009641,0.731590,-0.681676,20.330973,227.418667,-92.804553,25.373104,304.658033,-116.073928,42.447860,296.258471,-136.659579,44.837229,204.464344,-63.067401,59.248488,202.431417,-68.993888,2
47.708237,232.213699,-53.299706,-0.602500,-0.583221,-0.544837,-0.036032,0.701832,-0.711431,7.760880,219.570419,-93.031807,6.835257,296.597059,-119.976584,27.966537,293.570992,-139.009642,34.052483,200.837897,-61.215592,48.144631,199.208128,-67.814356,2
42.413662,232.859787,-51.138844,-0.555277,-0.634319,-0.537873,-0.077756,0.683505,-0.725793,2.666636,218.062061,-90.985249,-1.305044,293.508262,-119.460316,20.598648,294.038607,-136.961314,31.574517,199.861739,-58.936339,45.716973,198.978638,-65.513678,2
37.373569,234.560669,-48.911156,-0.551449,-0.647542,-0.525922,-0.105975,0.679715,-0.725780,-2.842899,219.242455,-87.927481,-8.792466,293.750905,-116.772425,13.159488,296.132486,-133.958661,27.585876,201.154665,-56.452223,41.301412,200.641975,-63.244126,2
31.908220,236.274368,-46.030724,-0.550771,-0.670751,-0.496734,-0.153722,0.666473,-0.729509,-8.976880,219.382123,-83.353833,-18.659969,292.093493,-113.299098,2.259045,296.338515,-130.411521,23.260636,202.586304,-52.329319,36.623334,202.334351,-59.733886,2
26.896231,237.873764,-41.226215,-0.569384,-0.668126,-0.478968,-0.191849,0.674542,-0.712872,-15.667652,220.659116,-76.991706,-28.387568,294.081464,-104.657208,-9.552771,297.979253,-122.669556,18.164099,203.859673,-47.218140,31.211634,203.918512,-55.199497,2
22.104893,240.331314,-36.051311,-0.560836,-0.689729,-0.457971,-0.245747,0.666907,-0.703451,-21.194759,221.396777,-70.452423,-38.343489,294.423345,-96.757926,-20.971992,298.581712,-115.460876,14.522250,205.924052,-41.667670,27.191852,206.460051,-50.111535,2
17.267807,244.103622,-30.558645,-0.539569,-0.710195,-0.452204,-0.293908,0.662190,-0.689292,-26.710754,224.204793,-64.281574,-47.442485,295.248096,-89.172376,-32.837137,299.824233,-107.359427,11.185848,209.262196,-36.214377,23.695866,210.630343,-44.946600,2
7.627251,248.763336,-18.509663,-0.604317,-0.693716,-0.391865,-0.388386,0.685932,-0.615349,-36.946773,227.424866,-48.001436,-63.727873,303.308899,-65.430948,-53.647981,305.384589,-85.589841,0.941039,213.661549,-23.799749,11.973934,215.555287,-34.322884,2
4.830024,254.092758,-12.536937,-0.636844,-0.669482,-0.382392,-0.412819,0.714981,-0.564254,-39.371539,233.064165,-41.261210,-66.837224,313.149328,-53.360559,-57.371898,316.061312,-74.350984,-2.675244,219.258782,-18.737534,7.760787,221.476691,-29.827797,2
2.523989,266.522644,-2.036753,-0.648557,-0.658483,-0.381804,-0.453453,0.737125,-0.501026,-39.835959,246.073827,-31.323705,-68.296980,329.148918,-37.801473,-54.649945,334.895160,-62.899192,-5.326157,231.906932,-9.954440,4.431181,234.999796,-21.542471,2
3.913027,272.281097,2.650090,-0.682691,-0.623106,-0.381670,-0.444895,0.768806,-0.459354,-38.786073,253.869020,-26.555683,-64.757105,338.958237,-29.284735,-50.568622,344.452483,-56.088884,-5.670286,238.078517,-6.291724,3.798646,241.328385,-18.080438,2
5.732582,275.890869,6.254478,-0.675785,-0.608391,-0.416144,-0.453254,0.788205,-0.416286,-35.641414,258.615962,-25.274906,-62.933243,343.749130,-22.504720,-49.992069,348.560419,-50.203576,-3.987883,241.972799,-4.810105,5.269325,245.952997,-16.414800,2
10.289965,281.831329,8.415243,-0.716024,-0.538664,-0.444017,-0.390274,0.836263,-0.385163,-31.464183,269.720076,-24.339417,-52.941596,354.992288,-18.799477,-40.973225,357.047133,-47.860223,-2.102861,249.751884,-4.412194,7.079808,253.731270,-15.765296,2
18.294758,290.529816,5.493970,-0.679136,-0.533909,-0.503702,-0.358692,0.840115,-0.406875,-19.750909,280.403624,-30.118151,-38.874818,366.250162,-26.410437,-28.242044,366.309218,-53.681709,4.447878,259.223361,-8.368646,14.217467,264.456798,-18.412412,2
26.760895,295.716553,3.871387,-0.718857,-0.468245,-0.513801,-0.283406,0.872306,-0.398452,-11.445433,289.507632,-31.962755,-25.213405,374.573105,-28.454689,-16.511025,372.500923,-55.474168,10.327484,266.353963,-10.095714,20.715274,270.413235,-19.867155,2
34.953079,300.057587,0.722684,-0.694943,-0.461497,-0.551430,-0.232607,0.869918,-0.434898,-1.339105,295.365164,-37.211883,-14.795372,377.066353,-37.521308,-4.774451,375.602968,-62.168847,18.589833,271.098097,-12.804057,30.104364,273.990193,-22.551195,2
