PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
30.008457,235.213211,74.430168,-0.196104,-0.923856,-0.328685,-0.377792,0.380500,-0.844093,0.456072,197.150519,26.768240,-13.881945,194.839449,43.575239,19.031516,190.626183,84.236772,39.155242,188.560806,81.680906,51.127270,192.961798,67.757118,2
31.004841,230.405533,37.972992,-0.671662,-0.729599,-0.128667,-0.245903,0.383375,-0.890256,-21.365017,209.537888,5.474738,-20.042547,273.452761,-57.388889,1.215393,201.816777,54.634568,17.137861,194.563228,54.285783,31.592382,184.713293,42.726743,2
28.844032,231.195724,22.394260,-0.682641,-0.719450,-0.128039,-0.256428,0.399912,-0.879952,-25.181657,212.100388,-10.535187,-23.829259,279.231574,-70.518752,1.178646,200.326147,36.055163,18.441773,192.854446,35.442196,31.469535,187.023450,25.708433,2
25.152296,230.053192,6.322741,-0.668200,-0.725662,-0.164081,-0.240345,0.419267,-0.875471,-27.253877,210.674142,-29.473296,-24.352053,282.436137,-86.438431,-0.582621,198.955450,19.196268,16.938605,192.278186,18.968300,28.638840,186.031506,8.480775,2
22.183207,229.248230,-9.190612,-0.633930,-0.747571,-0.198164,-0.249472,0.440191,-0.862552,-25.628591,205.776446,-46.925549,-31.191099,276.350798,-101.266165,-2.302382,197.768337,1.005512,15.672627,191.560494,0.841328,28.611899,186.065170,-8.684880,2
14.775233,226.424942,-40.024467,-0.634490,-0.751449,-0.180964,-0.263113,0.430127,-0.863576,-23.361368,194.160497,-78.090620,-37.048084,259.668346,-134.048598,-9.527227,196.513256,-30.818725,8.588673,189.529224,-30.538188,21.102169,183.449459,-40.262002,2
11.055280,225.452011,-54.606270,-0.636691,-0.752392,-0.168910,-0.267070,0.420645,-0.867024,-23.408206,190.077589,-92.459029,-38.558539,256.940011,-150.057504,-14.279948,198.060623,-43.950799,5.586263,189.195320,-44.474537,17.305037,182.525699,-54.659001,2
7.975746,225.680496,-68.852684,-0.593441,-0.780966,-0.194728,-0.269028,0.420483,-0.866497,-21.866395,188.220493,-108.369853,-39.882803,254.467297,-165.443480,-17.352672,197.680074,-58.302969,4.292909,188.884738,-58.931513,16.727557,183.243760,-69.115857,2
3.901368,225.065323,-96.211128,-0.528590,-0.820345,-0.218234,-0.233356,0.387606,-0.891800,-19.226322,183.954625,-136.510782,-49.687329,235.189229,-192.400211,-20.546725,195.495412,-87.001494,0.329048,189.196534,-84.924493,16.437202,183.918977,-93.722794,2
0.008669,224.940308,-123.761749,-0.475292,-0.861635,-0.177997,-0.204836,0.305115,-0.930025,-20.164752,178.083769,-160.609562,-65.922925,193.864339,-200.225368,-24.603019,193.496576,-114.089888,-7.457799,188.157287,-110.001175,13.084865,183.566293,-117.167462,2
