PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
157.761292,134.276672,-66.012840,-0.926827,-0.062259,0.370291,-0.373114,0.263416,-0.889605,112.393292,155.081091,-67.133824,108.614655,174.528674,-115.942094,106.778949,146.151953,-61.598375,140.344507,123.653638,-43.939851,141.059473,113.950055,-50.684389,2
151.118149,126.857635,-70.972519,-0.815982,0.289124,0.500580,-0.494771,0.098528,-0.863420,113.455832,163.588129,-74.435629,95.876187,166.244318,-92.956223,137.286362,137.799591,-47.509042,140.996481,128.807184,-46.825290,137.532065,116.615887,-49.537195,2
149.626099,127.307480,-74.709251,-0.786491,0.319613,0.528470,-0.524862,0.105085,-0.844676,114.265015,167.065866,-77.921654,94.811377,168.241721,-94.383073,137.537549,138.654196,-50.876616,140.384985,129.767892,-50.471919,136.846216,117.980289,-53.211757,2
144.434616,132.503052,-86.839966,-0.677049,0.402206,0.616308,-0.605484,0.171591,-0.777139,113.236978,175.231287,-86.647156,92.298312,179.732959,-102.874847,137.459982,144.266846,-62.219153,138.610178,134.519727,-61.937030,133.232358,122.943866,-63.627573,2
138.190048,139.007675,-98.549606,-0.606921,0.410543,0.680516,-0.643480,0.248708,-0.723932,111.535916,184.041794,-96.380515,87.675754,189.916855,-110.082071,132.996469,150.323654,-73.236288,132.909213,138.672617,-72.588742,127.284592,128.337204,-74.656754,2
129.772797,144.498138,-107.160019,-0.553194,0.382916,0.739832,-0.700688,0.266467,-0.661840,105.064008,190.593073,-103.763467,79.196851,195.522308,-109.179111,127.310773,155.689655,-81.205606,126.860919,143.575409,-80.676077,121.285394,133.587518,-82.967404,2
118.659767,150.058533,-112.206642,-0.489834,0.336772,0.804143,-0.783927,0.233455,-0.575289,94.381319,197.306470,-107.895284,72.489677,194.397986,-96.193709,120.376503,162.087024,-86.172865,120.375533,150.741809,-86.015041,114.843880,140.483936,-88.323897,2
110.761215,153.887299,-113.372406,-0.458160,0.316019,0.830796,-0.820099,0.210198,-0.532216,87.231430,203.011127,-108.723212,72.723087,193.220221,-88.265472,113.909592,165.539069,-87.656116,114.260928,154.296063,-87.441656,108.821121,144.186212,-89.554779,2
97.527771,160.193512,-112.579414,-0.374049,0.272018,0.886619,-0.894056,0.148315,-0.422690,74.795636,212.907025,-105.694142,77.656177,189.242230,-79.816933,103.011237,171.844342,-87.238014,104.344263,160.606903,-87.383186,99.322192,150.669843,-89.299355,2
85.707100,164.158752,-105.945770,-0.294310,0.224308,0.929014,-0.933657,0.140134,-0.329616,61.613203,213.790796,-93.331891,80.617305,186.316699,-75.946851,93.062489,171.357202,-80.587012,94.879335,160.682324,-80.993781,90.049141,151.258008,-81.846027,2
