PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
8.522465,213.687576,-25.618557,0.052352,-0.980424,-0.189810,-0.483260,0.141460,-0.863973,-5.174362,173.942191,-45.829147,-2.691451,179.639899,-16.911611,6.261742,177.146046,-21.317092,22.136647,182.705001,-17.892733,29.860408,189.377234,-25.524810,2
9.778182,210.213318,-36.035496,-0.103379,-0.988315,-0.112012,-0.418535,0.145384,-0.896489,-10.542861,169.745946,-52.678692,-9.365924,180.771809,-29.575439,6.191289,178.031137,-26.883390,18.337585,182.063527,-26.649502,27.366994,184.426837,-33.071669,2
8.162607,208.915314,-47.462917,-0.127568,-0.989649,-0.065739,-0.412510,0.113216,-0.903890,-11.152664,166.883128,-61.799816,-12.215176,177.757397,-40.298043,3.971760,178.257662,-36.908039,16.074254,181.366590,-36.819740,25.279632,183.085760,-42.904433,2
6.793402,207.286072,-58.412773,-0.131172,-0.989014,-0.068156,-0.393123,0.115007,-0.912265,-11.435604,164.504675,-73.217709,-12.497157,175.739718,-50.177542,2.848450,176.483429,-46.734073,14.412146,179.652252,-47.367695,23.684264,181.260866,-53.179779,2
5.298664,206.257416,-69.142967,-0.135056,-0.989633,-0.048854,-0.371383,0.096271,-0.923475,-10.991266,162.440614,-83.541924,-13.402283,174.591038,-60.281092,0.571146,174.334764,-56.723954,12.064076,177.646283,-57.370906,21.527367,179.489835,-62.882229,2
4.334832,205.308731,-79.240311,-0.139645,-0.989762,-0.029516,-0.346608,0.076782,-0.934862,-11.245542,161.024634,-93.108413,-14.131119,173.585739,-70.547292,-2.032638,173.302670,-66.185345,9.085076,176.299174,-66.632526,19.568612,178.365627,-72.292797,2
3.715882,205.402359,-97.082146,-0.161045,-0.982699,-0.091469,-0.308666,0.138179,-0.941080,-13.476935,163.185040,-113.974203,-15.268347,175.273584,-92.558551,-3.590478,172.747864,-87.627212,6.798603,174.807690,-87.265110,17.120995,178.147509,-92.203958,2
2.651797,205.474457,-107.903053,-0.171808,-0.979123,-0.108629,-0.285157,0.154976,-0.945869,-15.695784,164.448131,-126.113054,-19.097656,175.409676,-106.797992,-5.400132,174.337526,-100.407325,5.348208,174.822473,-99.356848,16.149643,177.887433,-104.026134,2
1.494845,204.030426,-118.195084,-0.183029,-0.975613,-0.121160,-0.267238,0.167974,-0.948877,-17.982237,163.881765,-137.591143,-22.031614,172.944856,-120.198626,-7.525215,173.934958,-112.156829,3.821797,173.772224,-110.422751,14.557186,176.672024,-114.891502,2
-0.069405,199.016281,-136.010101,-0.213719,-0.973703,-0.078912,-0.252085,0.133012,-0.958520,-21.041273,158.679568,-154.111226,-24.359653,168.504360,-136.676122,-10.979501,169.226528,-129.613273,0.852089,168.886066,-127.540626,11.332413,171.322618,-131.918024,2
-0.525659,196.371292,-143.406067,-0.236196,-0.970149,-0.054973,-0.238794,0.112790,-0.964498,-21.806238,156.197184,-161.019118,-25.386767,166.445614,-143.307923,-12.609151,166.412009,-136.844273,-0.458347,166.276952,-134.466333,10.059737,168.310786,-138.711690,2
-1.020148,191.942307,-155.560135,-0.279032,-0.960191,0.013215,-0.232259,0.054129,-0.971147,-22.573407,151.696202,-171.099353,-27.386021,163.561741,-154.042376,-15.031148,162.684569,-147.475926,-2.017119,162.759509,-144.749470,8.557903,163.720052,-148.956033,2
-1.041491,190.562897,-161.557312,-0.299547,-0.953566,0.031361,-0.225474,0.038813,-0.973476,-22.446339,150.627890,-176.689662,-28.295266,163.282366,-160.350236,-15.941878,161.741702,-153.300097,-2.667405,161.694569,-150.396730,8.097463,162.158752,-154.495734,2
