PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
187.284409,125.659195,0.045549,0.108781,0.860485,0.497728,0.335031,0.439669,-0.833334,231.138153,168.139282,-3.245772,222.313324,180.293808,-69.952744,223.683350,180.678680,-88.703911,217.036240,170.865067,-84.084221,183.604202,174.368256,-67.108978,2
177.689972,142.041306,13.234365,-0.250531,-0.493440,-0.832917,0.337932,0.761664,-0.552874,151.677597,160.798447,-37.053890,156.038986,158.885071,-65.372017,174.872177,164.801071,-77.188133,168.735077,107.431206,1.310638,185.442947,107.875305,1.568571,2
174.440659,151.394516,12.409055,-0.216536,-0.551646,-0.805481,0.236775,0.770748,-0.591511,145.294022,167.649261,-35.981319,157.967346,186.853348,-72.691170,170.968719,176.067230,-79.999870,169.063828,116.502296,-1.018326,185.700012,118.514618,-0.615843,2
170.729752,161.677917,10.134494,-0.226304,-0.569588,-0.790162,0.181892,0.772227,-0.608753,139.938171,176.498566,-36.288841,152.675095,200.208511,-74.393974,164.380386,187.211761,-82.392822,165.547104,126.733856,-6.759716,182.210876,129.007965,-4.927028,2
162.925598,174.040924,9.393651,-0.259281,-0.544143,-0.797923,0.148043,0.794021,-0.589588,127.481361,188.261429,-36.300583,137.427475,208.809479,-73.158501,151.983047,204.684906,-81.283142,155.263931,141.833313,-17.420191,170.650925,143.005417,-11.596292,2
155.809937,180.581024,8.070394,-0.266639,-0.537197,-0.800201,0.128372,0.803067,-0.581897,119.574013,194.428970,-37.403576,127.718742,213.649612,-72.328651,144.346130,215.204041,-81.722534,147.812912,151.134293,-24.361433,162.150772,150.347351,-15.661507,2
145.569672,193.173599,3.194579,-0.314023,-0.526662,-0.789947,0.111296,0.805878,-0.581527,111.638573,206.163757,-40.948990,117.054344,231.426117,-75.899651,133.081406,233.519775,-85.579277,135.030319,164.566589,-30.235796,149.800537,163.510147,-21.120186,2
139.031067,201.555893,1.331405,-0.338355,-0.515788,-0.787069,0.095094,0.813379,-0.573910,106.754120,214.210724,-41.529037,108.059967,237.535156,-76.808372,126.086838,246.085693,-86.887787,127.394966,172.508774,-29.505136,142.739960,172.278214,-22.352383,2
111.266060,221.702942,-1.276496,-0.377742,-0.469802,-0.797871,0.044770,0.851439,-0.522540,81.543350,232.768784,-42.415752,79.110031,273.140472,-73.109764,94.076126,275.227356,-85.692673,98.494217,193.371918,-28.037815,115.167725,194.650940,-23.144197,2
97.834000,228.009628,-1.561145,-0.389500,-0.459408,-0.798269,0.007447,0.865118,-0.501514,68.434891,237.410934,-41.941685,63.986351,284.507843,-70.444229,80.728043,290.092712,-82.971283,84.344719,207.513245,-39.464706,100.704720,202.434082,-24.932428,2
84.371223,234.711472,-2.336703,-0.402591,-0.463107,-0.789590,-0.030814,0.868949,-0.493941,53.973587,243.427261,-41.218712,48.055759,292.311096,-69.650520,66.015968,302.110718,-81.216858,70.990036,261.365631,-88.145828,86.639259,209.867126,-26.475204,2
75.167442,238.425201,-2.536088,-0.429112,-0.460600,-0.776988,-0.054546,0.871857,-0.486714,43.548698,247.098892,-40.021381,36.493507,296.679382,-68.192177,54.457970,308.220398,-79.445610,66.000084,280.354889,-88.409454,76.648941,213.912262,-26.575073,2
65.937675,240.586594,-2.198329,-0.443479,-0.468546,-0.764062,-0.086973,0.870950,-0.483613,33.302116,248.440948,-38.678833,24.396347,298.565216,-66.642532,42.271290,311.522583,-77.688194,56.123405,287.139496,-86.812233,66.965088,216.333084,-26.244928,2
56.750141,242.648254,-1.902393,-0.477111,-0.472179,-0.741223,-0.112920,0.869353,-0.481117,22.123522,250.768311,-36.425735,11.748470,300.148773,-64.549004,28.770355,313.507446,-76.058304,38.603542,277.576233,-83.979691,56.847393,218.323151,-25.243242,2
47.535622,242.604980,-1.273912,-0.491029,-0.493468,-0.717899,-0.150511,0.859753,-0.488029,10.805514,250.470871,-33.837700,-0.898052,298.459869,-63.032558,15.536591,312.764404,-74.815041,25.427927,271.663696,-80.247467,47.480148,218.162247,-23.883923,2
