PalmPositionX,PalmPositionY,PalmPositionZ,PalmNormalX,PalmNormalY,PalmNormalZ,HandDirectionX,HandDirectionY,HandDirectionZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ,IsLeft
74.103981,255.963989,29.275932,-0.248173,0.564002,0.787599,-0.591681,0.555502,-0.584236,52.644640,311.979831,60.044872,20.068401,342.666971,-23.072646,-7.636980,333.251074,-21.742360,73.359061,263.282843,72.733116,59.081926,250.890404,70.429932,2
71.483223,262.881256,22.410898,-0.169440,0.643351,0.746585,-0.639504,0.504627,-0.579988,52.260905,316.878506,51.475097,17.420374,347.368896,-31.314533,-10.590016,332.929147,-36.451289,75.991887,273.365799,61.330282,60.969290,261.818350,62.700948,2
70.369896,271.219818,15.736299,-0.107074,0.664470,0.739604,-0.626585,0.532471,-0.569092,55.148111,326.872205,43.793981,18.691928,356.147687,-39.593093,-10.136347,344.371765,-41.485560,75.729895,282.852365,54.322470,59.902171,271.675958,56.752655,2
68.524437,281.745819,6.125818,-0.070347,0.693082,0.717418,-0.634400,0.523929,-0.568362,54.231915,338.464368,32.663066,14.029613,364.356027,-47.966213,-11.823117,357.818164,-45.862402,75.264488,294.838062,43.703365,59.278565,283.958609,47.148980,2
66.170135,292.708282,-2.654339,0.128917,0.759688,0.637381,-0.632247,0.558133,-0.537356,63.035976,353.263269,18.347087,15.365801,376.621350,-58.136277,-7.560791,376.397409,-51.489557,78.463940,309.325876,33.377392,62.439823,301.094641,39.026968,2
65.043350,302.530670,-10.235955,0.140925,0.769943,0.622357,-0.618875,0.559179,-0.551646,63.091113,363.280930,6.236399,14.914649,385.205231,-67.763646,-9.821519,381.736646,-67.231542,76.397859,321.025897,26.927978,60.860103,312.959689,31.756170,2
62.917206,310.448303,-17.038992,0.285035,0.783887,0.551613,-0.614850,0.591015,-0.522169,67.713165,370.307397,-6.386677,13.984282,393.958707,-73.449451,-6.590415,396.780948,-69.613441,79.828204,330.514676,18.002558,64.430629,324.378201,24.414188,2
58.891682,312.522217,-30.874220,0.310568,0.744389,0.591128,-0.556850,0.646474,-0.521526,68.315505,371.375204,-23.351709,13.937746,399.267798,-83.607721,-5.307786,403.786197,-81.957687,75.251954,331.609338,5.732953,60.068983,325.393842,11.356581,2
58.104645,308.022156,-36.805954,0.259462,0.726661,0.636116,-0.543625,0.654303,-0.525699,67.315475,367.115198,-28.581139,13.822025,397.093051,-83.406201,0.756632,405.854916,-76.605163,72.223790,325.464783,1.519084,56.646926,319.174258,5.876429,2
57.835739,304.632294,-40.229931,0.244285,0.716056,0.653903,-0.534451,0.662088,-0.525359,67.151138,363.961093,-31.123380,13.512496,393.860092,-85.886313,0.011299,402.377203,-79.252165,71.189806,321.405615,-1.254428,55.313255,315.298984,2.529903,2
57.673775,296.819916,-45.325008,0.159255,0.689985,0.706086,-0.501691,0.672543,-0.544052,64.978957,356.323880,-32.799718,14.433264,386.255341,-91.563651,-0.600242,394.554822,-82.845233,67.232677,311.011285,-4.242410,50.737003,305.449417,-2.580597,2
57.157829,287.955780,-48.636028,0.020756,0.691652,0.721933,-0.515727,0.626010,-0.584925,58.527072,349.200046,-34.358272,10.940654,376.258038,-92.969183,-6.753922,380.997324,-89.834336,61.727275,301.525043,-6.629472,45.261956,294.926419,-6.909062,2
56.603054,277.238403,-51.104065,-0.070032,0.707108,0.703629,-0.550868,0.560643,-0.618242,53.095235,340.650711,-37.109294,5.100157,362.448859,-94.618157,-10.435946,366.930466,-93.963849,58.518869,292.000015,-9.226105,42.707581,283.952338,-9.942559,2
56.315277,271.959412,-52.691917,-0.137066,0.691774,0.708986,-0.549392,0.542477,-0.635521,49.760633,336.013733,-38.473940,3.149189,356.432449,-94.923149,-12.124491,360.230518,-95.434125,55.666961,285.817035,-10.694150,40.360296,277.077057,-12.145037,2
57.491112,257.466797,-56.763042,-0.238232,0.670829,0.702306,-0.548679,0.503710,-0.667253,46.892966,322.549146,-42.787075,0.771195,339.992075,-95.601216,-12.937409,343.269012,-100.525099,53.217097,270.038782,-15.144955,38.351458,260.536075,-17.790749,2
55.174618,237.924896,-60.341015,-0.277643,0.699376,0.658625,-0.555776,0.442272,-0.703924,44.162390,306.771878,-51.087590,-2.372908,319.677307,-96.819776,0.707643,333.163721,-73.054902,49.572353,252.334886,-20.002124,35.168754,242.436128,-21.958222,2
53.783634,218.122421,-61.411129,-0.260522,0.784673,0.562509,-0.647168,0.290424,-0.704859,40.777208,287.077480,-63.665599,-4.271417,297.784453,-92.232475,3.773209,309.437209,-63.261047,52.648814,236.284439,-23.334044,38.991613,226.296588,-21.617476,2
53.429310,200.721664,-61.299042,-0.177326,0.876600,0.447356,-0.709873,0.200909,-0.675067,41.286622,268.381987,-72.627711,-5.855325,276.093703,-103.121231,13.725094,292.300105,-60.757975,60.366829,223.938704,-29.170926,44.862596,214.460301,-21.369851,2
55.751934,186.372635,-62.118759,-0.225806,0.876820,0.424498,-0.710011,0.150226,-0.687980,41.209756,253.593938,-77.920030,-10.425631,252.338159,-115.293091,24.434196,263.176137,-58.865630,62.084966,210.071999,-30.982818,47.011310,200.104407,-22.944049,2
57.010132,171.088181,-64.261528,-0.244714,0.881920,0.402905,-0.680697,0.139656,-0.719130,43.395731,237.022166,-80.560246,-9.375142,231.881795,-122.999029,28.380828,247.730214,-61.091861,61.899489,195.376904,-33.213178,48.543681,186.853751,-28.611346,2
57.370922,161.449951,-64.463036,-0.229712,0.895503,0.381190,-0.679934,0.132575,-0.721189,45.375940,227.269801,-81.786928,-8.065046,221.763087,-123.557227,8.353401,253.093047,-74.667459,62.690651,186.767844,-33.939781,49.921039,179.199771,-30.758910,2
57.093754,151.450455,-62.312424,-0.197456,0.928177,0.315435,-0.723075,0.079375,-0.686194,47.053778,216.686903,-88.243158,-12.220926,204.905812,-124.388244,12.781074,243.739760,-74.110417,64.529718,180.059619,-34.322366,52.290594,173.143782,-30.605070,2
57.779980,143.192200,-60.519222,-0.198682,0.941373,0.272658,-0.742761,0.036871,-0.668541,49.037211,206.964925,-93.198941,-16.629725,187.981079,-123.465315,36.201837,219.824649,-63.639903,65.418770,174.087788,-34.273830,53.747606,166.817610,-30.746129,2
58.327412,135.681519,-58.944653,-0.206768,0.948995,0.238026,-0.761797,-0.003499,-0.647807,49.730347,197.075873,-97.118052,-20.536769,174.395825,-119.300644,66.220288,181.611420,-48.924839,65.900373,168.443881,-34.325896,54.420944,160.739131,-29.784338,2
58.687870,124.078140,-55.856747,-0.240067,0.954022,0.179470,-0.794753,-0.086992,-0.600666,48.338184,180.854948,-102.468672,-23.412719,159.746281,-112.183612,65.338094,167.954454,-49.900581,65.885946,159.167059,-34.196124,54.772813,151.313329,-26.984569,2
59.371994,118.215813,-53.912575,-0.273472,0.950454,0.147819,-0.821513,-0.150854,-0.549872,43.745720,171.264721,-104.448516,-25.010929,153.274998,-105.535751,62.234212,154.208343,-52.839703,66.205897,153.839181,-34.374886,56.352227,146.225068,-24.740222,2
59.848911,114.101059,-52.645618,-0.292687,0.946729,0.134310,-0.825831,-0.179469,-0.534597,42.056681,164.147786,-105.901394,-24.452797,149.906213,-102.629155,62.002548,147.489658,-52.609993,66.183172,149.612196,-33.892759,56.576690,142.347137,-22.026328,2
